,precision,recall,f1-score,support
0,0.9999628591060187,0.9995730462223872,0.9997679146668648,53870.0
1,1.0,1.0,1.0,53870.0
2,0.9998515136329046,0.9999814367922777,0.9999164709922318,53870.0
3,0.9997401777926248,0.9999814367922777,0.9998607927389491,53870.0
4,0.9999814371368639,1.0,0.9999907184822862,53870.0
accuracy,0.9999071839613886,0.9999071839613886,0.9999071839613886,0.9999071839613886
macro avg,0.9999071975336824,0.9999071839613884,0.9999071793760663,269350.0
weighted avg,0.9999071975336823,0.9999071839613886,0.9999071793760664,269350.0
