,precision,recall,f1-score,support
0,0.9985908964494299,0.9997958047150548,0.9991929873382496,53870.0
1,0.9997651178681244,0.9983794272554748,0.9990717920814264,46897.0
accuracy,0.9991366221084284,0.9991366221084284,0.9991366221084284,0.9991366221084284
macro avg,0.9991780071587771,0.9990876159852649,0.999132389709838,100767.0
weighted avg,0.9991373795428288,0.9991366221084284,0.9991365830197799,100767.0
