,precision,recall,f1-score,support
0,0.9574331980845853,0.9724336365323928,0.9648751197229793,53870.0
1,0.9677545436779363,0.9503379747105358,0.9589671866594943,46897.0
accuracy,0.9621503071442039,0.9621503071442039,0.9621503071442039,0.9621503071442039
macro avg,0.9625938708812608,0.9613858056214644,0.9619211531912368,100767.0
weighted avg,0.9622367562364741,0.9621503071442039,0.962125565435581,100767.0
