,precision,recall,f1-score,support
0,0.9954061313327777,0.9975310933729349,0.9964674794863474,53870.0
1,0.9971570262066607,0.9947118152547071,0.995932919864644,46897.0
accuracy,0.9962190002679449,0.9962190002679449,0.9962190002679449,0.9962190002679449
macro avg,0.9962815787697192,0.996121454313821,0.9962001996754957,100767.0
weighted avg,0.9962209984708338,0.9962190002679449,0.9962186952357592,100767.0
