,precision,recall,f1-score,support
0,0.9242175540842109,0.9302394653796175,0.9272187323643968,53870.0
1,0.9192626648906458,0.912382455167708,0.9158096379611099,46897.0
accuracy,0.9219288060575387,0.9219288060575387,0.9219288060575387,0.9219288060575387
macro avg,0.9217401094874283,0.9213109602736628,0.9215141851627533,100767.0
weighted avg,0.9219115467751651,0.9219288060575387,0.9219089355040065,100767.0
