,precision,recall,f1-score,support
0,0.9243253033870675,0.9473176164841285,0.9356802346901356,53870.0
1,0.9377044142502798,0.9109111457022837,0.9241136132563221,46897.0
accuracy,0.9303740311808429,0.9303740311808429,0.9303740311808429,0.9303740311808429
macro avg,0.9310148588186737,0.9291143810932061,0.9298969239732289,100767.0
weighted avg,0.9305519466547253,0.9303740311808429,0.930297124690021,100767.0
