,precision,recall,f1-score,support
0,0.9242121696195179,0.9451085947651754,0.9345435856017914,53870.0
1,0.9352656581799076,0.9109751156790413,0.9229605945385413,46897.0
accuracy,0.9292228606587474,0.9292228606587474,0.9292228606587474,0.9292228606587474
macro avg,0.9297389138997127,0.9280418552221084,0.9287520900701663,100767.0
weighted avg,0.9293564673858162,0.9292228606587474,0.9291528571699313,100767.0
