,precision,recall,f1-score,support
0,0.9482541937599038,0.9664377204380917,0.957259614058636,53870.0
1,0.9605791034362463,0.9394204320105763,0.9498819547007902,46897.0
accuracy,0.9538638641618784,0.9538638641618784,0.9538638641618784,0.9538638641618784
macro avg,0.9544166485980751,0.9529290762243341,0.9535707843797131,100767.0
weighted avg,0.9539902113955526,0.9538638641618784,0.9538260485966803,100767.0
