,precision,recall,f1-score,support
0,0.9703677784121254,0.9780954148876926,0.9742162726844105,53870.0
1,0.9746061805974003,0.9656907691323539,0.9701279922883308,46897.0
accuracy,0.9723222880506515,0.9723222880506515,0.9723222880506515,0.9723222880506515
macro avg,0.9724869795047628,0.9718930920100233,0.9721721324863706,100767.0
weighted avg,0.9723403323958982,0.9723222880506515,0.9723135854382392,100767.0
