,precision,recall,f1-score,support
0,0.9143023955919648,0.9302394653796175,0.9222020813588641,53870.0
1,0.9290019081445655,0.9128086133283831,0.9208340745873166,53870.0
accuracy,0.9215240393540004,0.9215240393540004,0.9215240393540004,0.9215240393540004
macro avg,0.9216521518682652,0.9215240393540003,0.9215180779730903,107740.0
weighted avg,0.9216521518682651,0.9215240393540004,0.9215180779730904,107740.0
